report_date,noncomm_long,noncomm_short,net_long,open_interest
2016-04-12,68490,90799,-22309,202077
2016-04-19,66393,90838,-24445,202995
2016-04-26,65361,73394,-8033,173226
2016-05-03,65743,73162,-7419,177311
2016-05-10,71298,94106,-22808,185742
2016-05-17,79134,109759,-30625,204320
2016-05-24,72083,113239,-41156,211618
2016-05-31,71369,110231,-38862,218099
2016-06-07,72657,111867,-39210,228947
2016-06-14,71458,116168,-44710,240180
2016-06-21,63873,96787,-32914,216708
2016-06-28,53663,73532,-19869,168725
2016-07-05,50608,70095,-19487,165608
2016-07-12,54525,68776,-14251,167442
2016-07-19,65847,63691,2156,180490
2016-07-26,69402,64531,4871,188833
2016-08-02,68978,66219,2759,190599
2016-08-09,67168,71816,-4648,190161
2016-08-16,61517,66254,-4737,182189
2016-08-23,70713,76431,-5718,194434
2016-08-30,69164,91211,-22047,187895
2016-09-06,79831,110290,-30459,204529
2016-09-13,88560,114066,-25506,205025
2016-09-20,82213,95536,-13323,191965
2016-09-27,74648,76864,-2216,180588
2016-10-04,77036,76250,786,182586
2016-10-11,79058,74831,4227,186602
2016-10-18,87559,98734,-11175,208983
2016-10-25,90754,104686,-13932,214999
2016-11-01,88620,77332,11288,204508
2016-11-08,118124,78641,39483,236021
2016-11-15,117485,72715,44770,241085
2016-11-22,117944,71675,46269,237190
2016-11-29,120932,67652,53280,231474
2016-12-06,123654,67333,56321,237404
2016-12-13,127501,66480,61021,237997
2016-12-20,119045,67184,51861,234318
2016-12-27,112477,66824,45653,228415
2017-01-03,109233,64859,44374,224559
2017-01-10,116858,69225,47633,237691
2017-01-17,118894,72559,46335,253013
2017-01-24,127827,77797,50030,272424
2017-01-31,134799,77857,56942,293152
2017-02-07,131012,79496,51516,293061
2017-02-14,131241,86386,44855,297783
2017-02-21,128025,85619,42406,285489
2017-02-28,120937,82917,38020,268330
2017-03-07,117942,88035,29907,268193
2017-03-14,110697,88106,22591,260839
2017-03-21,111970,90109,21861,270146
2017-03-28,112019,82198,29821,273737
2017-04-04,111676,84834,26842,278641
2017-04-11,114294,88428,25866,285671
2017-04-18,106599,90285,16314,276708
2017-04-25,103672,91096,12576,261273
2017-05-02,104710,86184,18526,249490
2017-05-09,98763,90506,8257,244297
2017-05-16,96918,88143,8775,251394
2017-05-23,97286,84156,13130,257500
2017-05-30,96563,86838,9725,250320
2017-06-06,97335,84487,12848,254753
2017-06-13,107790,88981,18809,261715
2017-06-20,103427,90645,12782,272699
2017-06-27,106322,92773,13549,254088
2017-07-03,116154,99933,16221,267910
2017-07-11,112514,100660,11854,264964
2017-07-18,121415,106344,15071,278150
2017-07-25,136476,112593,23883,300406
2017-08-01,152593,121598,30995,323290
2017-08-08,156893,124079,32814,330951
2017-08-15,163180,126593,36587,336007
2017-08-22,164286,123796,40490,332408
2017-08-29,166247,123114,43133,331194
2017-09-05,171857,123296,48561,333177
2017-09-12,161626,115070,46556,319213
2017-09-19,142773,110237,32536,293529
2017-09-26,136189,106231,29958,277914
2017-10-03,140036,106420,33616,275813
2017-10-10,147406,107201,40205,292876
2017-10-17,155325,104837,50488,311525
2017-10-24,154972,102858,52114,314981
2017-10-31,145195,98050,47145,303760
2017-11-07,140149,97884,42265,303854
2017-11-14,132883,93227,39656,287849
2017-11-21,130554,90429,40125,282043
2017-11-28,132442,88926,43516,275113
2017-12-05,117002,90444,26558,261076
2017-12-12,106142,78595,27547,238182
2017-12-19,118499,76331,42168,252927
2017-12-26,136375,84030,52345,271449
2018-01-02,149602,86746,62856,292750
2018-01-09,147620,86325,61295,296542
2018-01-16,138146,77959,60187,293299
2018-01-23,134329,82096,52233,289744
2018-01-30,127825,74916,52909,291016
2018-02-06,123520,71480,52040,289647
2018-02-13,112422,68537,43885,260295
2018-02-20,112439,66071,46368,260811
2018-02-27,113998,73280,40718,267323
2018-03-06,112652,71118,41534,263620
2018-03-13,108977,69310,39667,277467
2018-03-20,108618,76615,32003,288912
2018-03-27,106997,87521,19476,297451
2018-04-03,101902,81038,20864,293774
2018-04-10,94353,71743,22610,262363
2018-04-17,95306,65055,30251,245814
2018-04-24,99435,58517,40918,248720
2018-05-01,105554,71718,33836,247112
2018-05-08,105542,73371,32171,258077
2018-05-15,106307,71370,34937,263286
2018-05-22,108417,71093,37324,265784
2018-05-29,107887,71805,36082,271165
2018-06-05,110787,65854,44933,272877
2018-06-12,125484,57882,67602,295881
2018-06-19,118056,63116,54940,275504
2018-06-26,103525,70535,32990,273526
2018-07-03,99718,74852,24866,268505
2018-07-10,101668,87668,14000,289428
2018-07-17,105802,96371,9431,314308
2018-07-24,109157,100133,9024,327116
2018-07-31,101216,93311,7905,308912
2018-08-07,96888,94764,2124,299554
2018-08-14,95422,92310,3112,296949
2018-08-21,84509,86422,-1913,276178
